datum,sales
01-05-2014,14
01-12-2014,29.33
1/19/2014,30.67
1/26/2014,34
02-02-2014,31.02
02-09-2014,22.65
2/16/2014,33.33
2/23/2014,39.01
03-02-2014,36.68
03-09-2014,25.02
3/16/2014,32.35
3/23/2014,39.36
3/30/2014,25.69
04-06-2014,19.68
4/13/2014,36.03
4/20/2014,27.36
4/27/2014,26.36
05-04-2014,22.02
05-11-2014,24.67
5/18/2014,22.38
5/25/2014,25.02
06-01-2014,17.71
06-08-2014,23.34
6/15/2014,29.03
6/22/2014,31.68
6/29/2014,21.02
07-06-2014,27.35
7/13/2014,26.01
7/20/2014,33.67
7/27/2014,28.01
08-03-2014,20.02
08-10-2014,28.36
8/17/2014,26.02
8/24/2014,36.36
8/31/2014,22.05
09-07-2014,29.7
9/14/2014,18.7
9/21/2014,18.02
9/28/2014,25.36
10-05-2014,32.35
10-12-2014,23.7
10/19/2014,23.115
10/26/2014,19.69
11-02-2014,25.67
11-09-2014,40.67
11/16/2014,31.67
11/23/2014,28.35
11/30/2014,31.06
12-07-2014,28.69
12/14/2014,25.02
12/21/2014,25.01
12/28/2014,36.18
01-04-2015,36.68
01-11-2015,19.34
1/18/2015,39.35
1/25/2015,29.69
02-01-2015,32.19
02-08-2015,20.34
2/15/2015,35.01
2/22/2015,21.67
03-01-2015,43.35
03-08-2015,41.68
3/15/2015,27.02
3/22/2015,42
3/29/2015,25.01
04-05-2015,35.01
04-12-2015,40.18
4/19/2015,41.65
4/26/2015,36.66
05-03-2015,29.34
05-10-2015,22
5/17/2015,35
5/24/2015,35.68
5/31/2015,50.33
06-07-2015,35.34
6/14/2015,28.34
6/21/2015,41.67
6/28/2015,39.84
07-05-2015,36.36
07-12-2015,30.51
7/19/2015,38.71
7/26/2015,36.35
08-02-2015,50.36
08-09-2015,33.83
8/16/2015,41.01
8/23/2015,41.17
8/30/2015,51.68
09-06-2015,39.35
9/13/2015,38.33
9/20/2015,38.67
9/27/2015,41.22
10-04-2015,44.65
10-11-2015,45.33
10/18/2015,42.66
10/25/2015,48.17
11-01-2015,29.98
11-08-2015,32.49
11/15/2015,36.97
11/22/2015,32.01
11/29/2015,31.65
12-06-2015,31.32
12/13/2015,41.51
12/20/2015,32.99
12/27/2015,31.98
01-03-2016,33.33
01-10-2016,41.65
1/17/2016,51.67
1/24/2016,27.98
