datum,,sales
31-01-2014,,99.09
28-02-2014,,126.05
31-03-2014,,92.95
30-04-2014,,89.475
31-05-2014,,119.933
30-06-2014,,94.71
31-07-2014,,95.01
31-08-2014,,99.78
30-09-2014,,109.094
31-10-2014,,185.241
30-11-2014,,100.86
31-12-2014,,121.401
31-01-2015,,130.349
28-02-2015,,123.74
31-03-2015,,129.386
30-04-2015,,101.115
31-05-2015,,119.117
30-06-2015,,113.69
31-07-2015,,113.81
31-08-2015,,144.519
30-09-2015,,134.122
31-10-2015,,127.231
30-11-2015,,128.233
31-12-2015,,131.291
31-01-2016,,128.402
29-02-2016,,137.528
31-03-2016,,180.589
30-04-2016,,146.526
31-05-2016,,120.861
30-06-2016,,114.961
31-07-2016,,141.019
31-08-2016,,114.375
30-09-2016,,126.218
31-10-2016,,142.056
30-11-2016,,116.85
31-12-2016,,135.056
31-01-2017,,0
28-02-2017,,103.517
31-03-2017,,111.055
30-04-2017,,101.215
31-05-2017,,118.125
30-06-2017,,103.006
31-07-2017,,116.206
31-08-2017,,112.47
30-09-2017,,118.711
31-10-2017,,88.737
30-11-2017,,119.78
31-12-2017,,121.663
31-01-2018,,109.446
28-02-2018,,132.804
31-03-2018,,111.764
30-04-2018,,107.723
31-05-2018,,103.522
30-06-2018,,114.226
31-07-2018,,132.549
31-08-2018,,114.719
30-09-2018,,114.992
31-10-2018,,129.4
30-11-2018,,105.487
31-12-2018,,113.024
31-01-2019,,222.351
28-02-2019,,142.155
31-03-2019,,113.118
30-04-2019,,100.165
31-05-2019,,97.258
30-06-2019,,101.627
31-07-2019,,103.541
31-08-2019,,88.269
30-09-2019,,111.437
31-10-2019,,37.3
